QUEST_20150317_000001	โปรดเลือกตัว ผู้เล่น 
QUEST_20150317_000183	หัวหน้าพาลาดินได้รับคำร้องขอจากเทพธิดา,วันหนึ่ง,ในพระคัมภีร์ศักดิ์สิทธิ์ {nl}ขณะที่เขากำลังคิดว่าจะเก็บเรื่องนี้ไว้เป็นความลับอย่างไร,พวกคนพเนจรก็ได้ปรากฏตัวขึ้น
QUEST_20150317_000184	พวกเขาและหัวหน้าพาลาดินได้ร่วมกันทำสัญญา3ข้อก่อนที่จะถอนคำสาป
QUEST_20150317_000185	จะสร้างTenet Chapelด้วยกัน {nl}จะซ่อนHoly Relicไว้ในดินแดนนี้และปกป้องมันไว้ {nl}จะร่วมต่อสู้ด้วยกันเวลาภยันตรายมาเยือน
QUEST_20150317_000186	ทั้งหมดนี้เพื่อที่จะปกป้องRevelationที่ซ่อนอยู่ในห้องลับของTenet Chapel
QUEST_20150317_000187	Holy Relicถูกสร้างขึ้นมาเพื่อปกป้องข้อความนี้นี่ละ {nl}เพื่อที่จะล่อราชินีปีศาจออกมาทำลาย
QUEST_20150317_000188	อะไรจะเกิดขึ้นก็ได้ {nl}ถ้าแผนการนั้นล้มเหลว, มันจะเป็นไปได้มากที่การต่อสู้จะเกิดขึ้นที่นี่,ในโบสถ์แห่งนี้
QUEST_20150317_000189	Pawndel
QUEST_20150317_000190	ว่าไง?
QUEST_20150317_000191	จริงหรอ?
QUEST_20150317_000192	Pawnd
QUEST_20150317_000193	เกิดอะไรขึ้น?
QUEST_20150317_000194	Gestiบอกให้เราปกป้องที่นี่
QUEST_20150317_000195	แล้วให้ฉันทำอะไรละ?
QUEST_20150317_000196	ใช่ที่นี่หรือเปล่าเนี่ย?
QUEST_20150317_000197	Explaining
QUEST_20150317_000198	{memo X}แบ่งปันรายละเอียดเกี่ยวกับชิ้นส่วนของRevelationที่พบในCrystal Mine
QUEST_20150317_000199	{memo X}ข้าไม่รู้ว่าท่านจะเก่งกาจมาจากไหนข้าไม่สนใจ {nl}ในนี้,ท่านจะต้องทำตามคำสั่งกองทัพของราชสำนัก,แม้แต่ท่านKnights of Kaliss {nl}ในนี้,คำของเราคือกฏ
QUEST_20150317_000200	Graverobber Hubertas
QUEST_20150317_000201	ต้องมาอยู่ในซากปรักหักพังแบบนี้มันทำให้ข้าเสียสติ {nl}นี่เขาจะมาที่นี่ทำไมกัน
QUEST_20150317_000202	Graverobber Benjaminas
QUEST_20150317_000203	{memo X}ผู้คนเรียกเราว่าโจรปล้นหลุมศพ,แต่เราชอบที่จะเรียกพวกเราเองว่า...นักโบราณคดี {nl}ออกค้นหาและหาทางใช้ของเหล่านี้ที่ไม่มีใครต้องการแล้ว {nl}มันดีกว่าที่จะทิ้งไว้ให้มันเสียไปไม่ใช่หรือ?
QUEST_20150317_000204	A Citizen's Journal
